nome;perfil_twitter;colormap
Bahia;ECBahia;RdBu
Fortaleza;FortalezaEC;RdBu
Bragantino;RedBullBraga;RdYlBu
America Mineiro;AmericaMG;Greens
Chapecoense;ChapecoenseReal;Greens
Juventude;ECJuventude;Greens
Palmeiras;Palmeiras;Greens
Gremio;Gremio;Blues
Atletico Mineiro;Atletico;Greys
Ceara;CearaSC;Greys
Santos;SantosFC;Greys
Cuiaba;CuiabaEC;summer
Fluminense;FluminenseFC;PiYG
Internacional;SCInternacional;Reds
Atletico Goianiense;ACGOficial;RdGy
Atletico Paranaense;ClubeAtleticoPR;RdGy
Corinthians;Corinthians;RdGy
Flamengo;Flamengo;RdGy
Sao Paulo;SaoPauloFC;RdGy
Sport;sportrecife;afmhot
