nome,perfil_twitter,dt,hr_ini,hr_fim
Cuiaba,CuiabaEC,2021-05-29,19:00:00,21:00:00
Juventude,ECJuventude,2021-05-29,19:00:00,21:00:00
Bahia,ECBahia,2021-05-29,20:00:00,22:00:00
Santos,SantosFC,2021-05-29,20:00:00,22:00:00
Fluminense,FluminenseFC,2021-05-29,21:00:00,23:00:00
Sao Paulo,SaoPauloFC,2021-05-29,21:00:00,23:00:00
Atletico Mineiro,Atletico,2021-05-30,11:00:00,13:00:00
Fortaleza,FortalezaEC,2021-05-30,11:00:00,13:00:00
Flamengo,Flamengo,2021-05-30,16:00:00,18:00:00
Palmeiras,Palmeiras,2021-05-30,16:00:00,18:00:00
Gremio,Gremio,2021-05-30,16:00:00,18:00:00
Ceara,CearaSC,2021-05-30,16:00:00,18:00:00
Atletico Goianiense,ACGOficial,2021-05-30,18:15:00,20:15:00
Corinthians,Corinthians,2021-05-30,18:15:00,20:15:00
Bragantino,RedBullBraga,2021-05-30,18:15:00,20:15:00
Chapecoense,ChapecoenseReal,2021-05-30,18:15:00,20:15:00
Atletico Paranaense,ClubeAtleticoPR,2021-05-30,18:15:00,20:15:00
America Mineiro,AmericaMG,2021-05-30,18:15:00,20:15:00
Sport,sportrecife,2021-05-30,20:30:00,22:30:00
Internacional,SCInternacional,2021-05-30,20:30:00,22:30:00
